symbol,date,pattern,confidence,urgency_score,breakout_direction,breakout_level,current_price,distance_to_breakout_pct,days_to_apex,target,stop_loss
COHANCE.NS,2026-06-11,symmetrical_triangle,100.0,500.0,up,418.47,423.45,0.0,,444.34,466.13
BATAINDIA.NS,2026-06-11,symmetrical_triangle,100.0,500.0,up,657.71,657.85,0.0,,673.64,680.41
HUDCO.NS,2026-06-11,symmetrical_triangle,100.0,500.0,up,202.57,203.33,0.0,,208.07,213.56
ELECON.NS,2026-06-11,symmetrical_triangle,95.7,458.1,up,530.36,528.1,0.4,,531.52,534.33
NESTLEIND.NS,2026-06-11,symmetrical_triangle,100.0,451.2,up,1436.39,1422.5,1.0,,1437.28,1439.56
RITES.NS,2026-06-11,symmetrical_triangle,100.0,447.4,up,202.62,200.51,1.1,,207.67,209.96
NEULANDLAB.NS,2026-06-11,symmetrical_triangle,93.3,435.2,up,17086.85,16973.0,0.7,,17148.27,17362.37
EIHOTEL.NS,2026-06-11,symmetrical_triangle,91.2,416.2,up,292.14,289.6,0.9,,299.83,301.5
APTUS.NS,2026-06-11,symmetrical_triangle,91.2,415.6,up,260.73,258.45,0.9,,261.74,262.86
AUBANK.NS,2026-06-11,symmetrical_triangle,90.8,412.0,up,972.19,963.3,0.9,,976.73,980.43
JUBLFOOD.NS,2026-06-11,symmetrical_triangle,97.3,400.7,up,420.91,413.6,1.8,,453.29,468.73
PVRINOX.NS,2026-06-11,symmetrical_triangle,87.1,379.6,up,957.32,945.15,1.3,,1000.73,1020.16
BEML.NS,2026-06-11,symmetrical_triangle,87.1,379.0,up,1749.74,1727.4,1.3,,1803.56,1855.74
COLPAL.NS,2026-06-11,symmetrical_triangle,86.3,372.6,up,2056.33,2028.6,1.4,,2091.69,2123.39
PIRAMALFIN.NS,2026-06-11,symmetrical_triangle,92.8,361.0,up,1993.5,1950.2,2.2,,1994.26,2002.96
CASTROLIND.NS,2026-06-11,symmetrical_triangle,84.7,358.8,up,184.89,182.11,1.5,,185.24,187.41
RAMCOCEM.NS,2026-06-11,symmetrical_triangle,82.3,338.7,up,866.06,851.0,1.8,,901.01,906.6
VMM.NS,2026-06-11,symmetrical_triangle,81.6,333.1,up,119.81,117.65,1.8,,120.33,121.18
ACE.NS,2026-06-11,symmetrical_triangle,100.0,322.7,up,901.79,891.95,1.1,1.0,900.14,896.17
DMART.NS,2026-06-11,symmetrical_triangle,81.2,268.5,up,4121.91,3987.0,3.4,,4227.61,4305.45
SONATSOFTW.NS,2026-06-11,symmetrical_triangle,80.7,265.0,up,263.59,254.85,3.4,,275.26,288.27
LICI.NS,2026-06-11,ascending_triangle,100.0,257.0,up,412.31,393.2,4.9,0.0,412.6,412.02
EIDPARRY.NS,2026-06-11,symmetrical_triangle,78.8,251.4,up,735.91,710.2,3.6,,847.2,930.27
ITI.NS,2026-06-11,symmetrical_triangle,71.4,201.4,up,301.39,288.8,4.4,,302.49,317.53
INDGN.NS,2026-06-11,symmetrical_triangle,70.5,197.5,up,521.71,506.75,3.0,1.0,520.65,519.45
DABUR.NS,2026-06-11,symmetrical_triangle,100.0,196.5,up,425.3,421.7,0.9,2.0,419.25,418.86
SRF.NS,2026-06-11,symmetrical_triangle,89.7,169.3,up,2725.64,2658.4,2.5,1.0,2719.85,2707.53
PARADEEP.NS,2026-06-11,ascending_triangle,100.0,106.9,up,127.94,121.51,5.3,2.0,128.78,127.1
HINDUNILVR.NS,2026-06-11,symmetrical_triangle,100.0,106.4,up,2165.29,2139.8,1.2,4.0,2141.36,2135.93
TORNTPHARM.NS,2026-06-11,w_pattern_double_bottom,100.0,99.9,up,4572.6,4572.2,0.0,,4849.4,4209.88
TENNIND.NS,2026-06-11,symmetrical_triangle,83.8,92.4,up,579.04,561.55,3.1,3.0,570.25,569.31
STARHEALTH.NS,2026-06-11,symmetrical_triangle,79.8,80.6,up,530.44,519.95,2.0,3.0,530.27,524.43
VOLTAS.NS,2026-06-11,w_pattern_double_bottom,100.0,80.2,up,1302.6,1277.3,2.0,,1374.5,1206.09
BIKAJI.NS,2026-06-11,w_pattern_double_bottom,84.2,75.9,up,678.25,671.65,1.0,,708.15,635.38
NIVABUPA.NS,2026-06-11,symmetrical_triangle,89.4,73.3,up,83.85,82.97,1.1,5.0,83.11,82.25
TATACOMM.NS,2026-06-11,w_pattern_double_bottom,77.7,69.8,up,1985.9,1966.0,1.0,,2065.6,1868.08
INDIAMART.NS,2026-06-11,symmetrical_triangle,88.3,66.9,up,1991.18,1968.2,1.2,5.0,1962.08,1961.96
URBANCO.NS,2026-06-11,w_pattern_double_bottom,83.1,66.4,up,125.45,122.98,2.0,,130.9,117.6
LODHA.NS,2026-06-11,w_pattern_double_bottom,89.6,64.6,up,892.2,868.05,2.8,,934.45,832.95
LUPIN.NS,2026-06-11,rectangle,94.3,64.2,up,2309.6,2273.3,1.6,,2405.1,2214.1
KAJARIACER.NS,2026-06-11,w_pattern_double_bottom,98.5,62.5,up,1116.4,1077.0,3.7,,1185.2,1026.65
ALKEM.NS,2026-06-11,symmetrical_triangle,100.0,60.0,up,5353.05,5301.5,1.0,7.0,5268.16,5257.31
LAURUSLABS.NS,2026-06-11,w_pattern_double_bottom,100.0,59.7,up,1446.8,1390.8,4.0,,1531.6,1334.76
INDIANB.NS,2026-06-11,w_pattern_double_bottom,70.8,58.4,up,840.15,825.65,1.8,,870.3,793.8
FINCABLES.NS,2026-06-11,w_pattern_double_bottom,100.0,56.0,up,1057.5,1012.9,4.4,,1125.3,969.91
SHYAMMETL.NS,2026-06-11,w_pattern_double_bottom,78.3,52.0,up,1002.0,969.45,3.4,,1042.6,942.17
PHOENIXLTD.NS,2026-06-11,w_pattern_double_bottom,91.5,50.9,up,1809.6,1732.8,4.4,,1897.4,1687.36
GODREJCP.NS,2026-06-11,symmetrical_triangle,86.7,50.9,up,1022.29,1008.9,1.3,7.0,998.23,997.32
BBTC.NS,2026-06-11,w_pattern_double_bottom,74.0,50.2,up,1537.9,1490.0,3.2,,1610.2,1436.29
GRANULES.NS,2026-06-11,w_pattern_double_bottom,83.5,50.0,up,793.8,763.15,4.0,,835.65,736.91
